Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK SERI SAIFUDDIN NASUTION ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) CIKGU ROSLAN HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RIZAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK MUHAR BIN HUSSAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
12,018/35/09,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG ANAK KULIM, KULIM",1,257,160,25,3,64,252,5,0,LADANG ANAK KULIM ,UNDI BIASA,LADANG ANAK KULIM 018/35/09
12,018/35/09,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG ANAK KULIM, KULIM",2,308,178,64,1,62,305,3,0,LADANG ANAK KULIM ,UNDI BIASA,LADANG ANAK KULIM 018/35/09
13,018/35/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHONG CHENG, KULIM",1,336,123,108,10,80,321,15,0,JALAN TUNKU BENDAHARA ,UNDI BIASA,JALAN TUNKU BENDAHARA 018/35/10
13,018/35/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHONG CHENG, KULIM",2,373,150,148,7,63,368,5,0,JALAN TUNKU BENDAHARA ,UNDI BIASA,JALAN TUNKU BENDAHARA 018/35/10
13,018/35/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHONG CHENG, KULIM",3,366,132,178,7,46,363,3,0,JALAN TUNKU BENDAHARA ,UNDI BIASA,JALAN TUNKU BENDAHARA 018/35/10
13,018/35/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHONG CHENG, KULIM",4,402,107,254,6,34,401,1,0,JALAN TUNKU BENDAHARA ,UNDI BIASA,JALAN TUNKU BENDAHARA 018/35/10
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",1,312,144,76,7,83,310,2,0,TAMAN KENARI ,UNDI BIASA,TAMAN KENARI 018/35/11
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",2,382,152,116,7,100,375,7,0,TAMAN KENARI ,UNDI BIASA,TAMAN KENARI 018/35/11
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",3,377,151,137,5,80,373,4,0,TAMAN KENARI ,UNDI BIASA,TAMAN KENARI 018/35/11
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",4,586,264,241,4,71,580,6,0,TAMAN KENARI ,UNDI BIASA,TAMAN KENARI 018/35/11
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",5,563,300,189,4,69,562,1,0,TAMAN KENARI ,UNDI BIASA,TAMAN KENARI 018/35/11
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",6,527,317,152,1,55,525,2,0,TAMAN KENARI ,UNDI BIASA,TAMAN KENARI 018/35/11
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",7,508,265,204,1,34,504,4,0,TAMAN KENARI ,UNDI BIASA,TAMAN KENARI 018/35/11
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",8,476,211,215,2,46,474,2,0,TAMAN KENARI ,UNDI BIASA,TAMAN KENARI 018/35/11
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",9,512,226,235,5,44,510,1,1,TAMAN KENARI ,UNDI BIASA,TAMAN KENARI 018/35/11
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",10,512,205,242,4,51,502,10,0,TAMAN KENARI ,UNDI BIASA,TAMAN KENARI 018/35/11
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",11,530,220,269,2,36,527,3,0,TAMAN KENARI ,UNDI BIASA,TAMAN KENARI 018/35/11
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",12,546,217,291,2,34,544,2,0,TAMAN KENARI ,UNDI BIASA,TAMAN KENARI 018/35/11
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",13,592,217,331,0,42,590,2,0,TAMAN KENARI ,UNDI BIASA,TAMAN KENARI 018/35/11
14,018/35/11,"SEKOLAH KEBANGSAAN TAMAN KENARI, KULIM",14,599,247,312,1,37,597,2,0,TAMAN KENARI ,UNDI BIASA,TAMAN KENARI 018/35/11
15,018/35/12,"SEKOLAH MENENGAH KEBANGSAAN TAMAN KENARI, KULIM",1,269,146,50,4,59,259,10,0,TAMAN TUNKU PUTRA ,UNDI BIASA,TAMAN TUNKU PUTRA 018/35/12
15,018/35/12,"SEKOLAH MENENGAH KEBANGSAAN TAMAN KENARI, KULIM",2,361,193,95,5,64,357,4,0,TAMAN TUNKU PUTRA ,UNDI BIASA,TAMAN TUNKU PUTRA 018/35/12
15,018/35/12,"SEKOLAH MENENGAH KEBANGSAAN TAMAN KENARI, KULIM",3,513,261,152,4,88,505,8,0,TAMAN TUNKU PUTRA ,UNDI BIASA,TAMAN TUNKU PUTRA 018/35/12
15,018/35/12,"SEKOLAH MENENGAH KEBANGSAAN TAMAN KENARI, KULIM",4,478,259,171,5,43,478,0,0,TAMAN TUNKU PUTRA ,UNDI BIASA,TAMAN TUNKU PUTRA 018/35/12
15,018/35/12,"SEKOLAH MENENGAH KEBANGSAAN TAMAN KENARI, KULIM",5,453,218,189,5,38,450,3,0,TAMAN TUNKU PUTRA ,UNDI BIASA,TAMAN TUNKU PUTRA 018/35/12
15,018/35/12,"SEKOLAH MENENGAH KEBANGSAAN TAMAN KENARI, KULIM",6,474,240,203,4,27,474,0,0,TAMAN TUNKU PUTRA ,UNDI BIASA,TAMAN TUNKU PUTRA 018/35/12
15,018/35/12,"SEKOLAH MENENGAH KEBANGSAAN TAMAN KENARI, KULIM",7,526,222,251,4,47,524,2,0,TAMAN TUNKU PUTRA ,UNDI BIASA,TAMAN TUNKU PUTRA 018/35/12
16,018/35/13,"SEKOLAH KEBANGSAAN KULIM, KULIM",1,297,132,88,3,70,293,4,0,TAMAN SERI KULIM ,UNDI BIASA,TAMAN SERI KULIM 018/35/13
16,018/35/13,"SEKOLAH KEBANGSAAN KULIM, KULIM",2,338,148,127,7,47,329,9,0,TAMAN SERI KULIM ,UNDI BIASA,TAMAN SERI KULIM 018/35/13
16,018/35/13,"SEKOLAH KEBANGSAAN KULIM, KULIM",3,315,109,148,5,47,309,6,0,TAMAN SERI KULIM ,UNDI BIASA,TAMAN SERI KULIM 018/35/13
17,018/35/14,"SEKOLAH MENENGAH AGAMA TARBIYYAH DINIAH, KULIM",1,246,196,24,2,21,243,2,1,PEKAN KULIM ,UNDI BIASA,PEKAN KULIM 018/35/14
17,018/35/14,"SEKOLAH MENENGAH AGAMA TARBIYYAH DINIAH, KULIM",2,259,208,32,4,12,256,1,2,PEKAN KULIM ,UNDI BIASA,PEKAN KULIM 018/35/14
18,018/35/15,"SEKOLAH MENENGAH KEBANGSAAN  ST. PATRICK, KULIM",1,192,153,9,2,23,187,5,0,JALAN TUNKU PUTRA ,UNDI BIASA,JALAN TUNKU PUTRA 018/35/15
