P.006_N.06_006/06/02_1,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/02,KAMPUNG KULUANG ,"SEKOLAH KEBANGSAAN BINJAL, JITRA",1,371
P.006_N.06_006/06/02_2,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/02,KAMPUNG KULUANG ,"SEKOLAH KEBANGSAAN BINJAL, JITRA",2,408
P.006_N.06_006/06/02_3,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/02,KAMPUNG KULUANG ,"SEKOLAH KEBANGSAAN BINJAL, JITRA",3,444
P.006_N.06_006/06/03_1,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/03,MALAU ,"SEKOLAH KEBANGSAAN MALAU, JITRA",1,372
P.006_N.06_006/06/03_2,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/03,MALAU ,"SEKOLAH KEBANGSAAN MALAU, JITRA",2,379
P.006_N.06_006/06/03_3,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/03,MALAU ,"SEKOLAH KEBANGSAAN MALAU, JITRA",3,379
P.006_N.06_006/06/04_4,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/04,PADANG PANJANG ,"SEKOLAH KEBANGSAAN MALAU, JITRA",4,364
P.006_N.06_006/06/04_5,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/04,PADANG PANJANG ,"SEKOLAH KEBANGSAAN MALAU, JITRA",5,499
P.006_N.06_006/06/04_6,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/04,PADANG PANJANG ,"SEKOLAH KEBANGSAAN MALAU, JITRA",6,454
P.006_N.06_006/06/04_7,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/04,PADANG PANJANG ,"SEKOLAH KEBANGSAAN MALAU, JITRA",7,501
P.006_N.06_006/06/05_1,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/05,WANG TEPUS ,"SEKOLAH KEBANGSAAN PENGHULU HJ DARUS, WANG TEPUS",1,360
P.006_N.06_006/06/05_2,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/05,WANG TEPUS ,"SEKOLAH KEBANGSAAN PENGHULU HJ DARUS, WANG TEPUS",2,495
P.006_N.06_006/06/05_3,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/05,WANG TEPUS ,"SEKOLAH KEBANGSAAN PENGHULU HJ DARUS, WANG TEPUS",3,522
P.006_N.06_006/06/06_1,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/06,TAMAN JITRA JAYA ,"SEKOLAH KEBANGSAAN JITRA, JITRA",1,326
P.006_N.06_006/06/06_2,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/06,TAMAN JITRA JAYA ,"SEKOLAH KEBANGSAAN JITRA, JITRA",2,366
P.006_N.06_006/06/06_3,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/06,TAMAN JITRA JAYA ,"SEKOLAH KEBANGSAAN JITRA, JITRA",3,470
P.006_N.06_006/06/06_4,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/06,TAMAN JITRA JAYA ,"SEKOLAH KEBANGSAAN JITRA, JITRA",4,464
P.006_N.06_006/06/07_1,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/07,TAMAN RASA SAYANG ,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, JITRA",1,335
P.006_N.06_006/06/07_2,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/07,TAMAN RASA SAYANG ,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, JITRA",2,333
P.006_N.06_006/06/07_3,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/07,TAMAN RASA SAYANG ,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, JITRA",3,382
P.006_N.06_006/06/07_4,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/07,TAMAN RASA SAYANG ,"SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA, JITRA",4,382
P.006_N.06_006/06/08_1,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/08,TAMAN PASU ,"SEKOLAH KEBANGSAAN SULTAN AHMAD TAJUDDIN, JITRA",1,300
P.006_N.06_006/06/08_2,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/08,TAMAN PASU ,"SEKOLAH KEBANGSAAN SULTAN AHMAD TAJUDDIN, JITRA",2,355
