Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AIZUDDIN ARIFFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AMIRUDDIN HAMZAH (TOK MET),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HASMUNI BIN HASSAN (TOK MUNI),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
26,006/06/01,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",3,521,297,144,30,48,519,2,0,PAYA KEMUNTING ,UNDI BIASA,PAYA KEMUNTING 006/06/01
26,006/06/01,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",4,526,319,129,21,55,524,2,0,PAYA KEMUNTING ,UNDI BIASA,PAYA KEMUNTING 006/06/01
26,006/06/01,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",5,609,429,115,21,43,608,0,1,PAYA KEMUNTING ,UNDI BIASA,PAYA KEMUNTING 006/06/01
27,006/06/02,"SEKOLAH KEBANGSAAN BINJAL, JITRA",1,371,171,31,31,132,365,6,0,KAMPUNG KULUANG ,UNDI BIASA,KAMPUNG KULUANG 006/06/02
27,006/06/02,"SEKOLAH KEBANGSAAN BINJAL, JITRA",2,408,288,31,24,62,405,3,0,KAMPUNG KULUANG ,UNDI BIASA,KAMPUNG KULUANG 006/06/02
27,006/06/02,"SEKOLAH KEBANGSAAN BINJAL, JITRA",3,444,320,32,20,71,443,1,0,KAMPUNG KULUANG ,UNDI BIASA,KAMPUNG KULUANG 006/06/02
28,006/06/03,"SEKOLAH KEBANGSAAN MALAU, JITRA",1,372,168,11,23,161,363,9,0,MALAU ,UNDI BIASA,MALAU 006/06/03
28,006/06/03,"SEKOLAH KEBANGSAAN MALAU, JITRA",2,379,242,26,32,75,375,4,0,MALAU ,UNDI BIASA,MALAU 006/06/03
28,006/06/03,"SEKOLAH KEBANGSAAN MALAU, JITRA",3,379,280,11,20,68,379,0,0,MALAU ,UNDI BIASA,MALAU 006/06/03
29,006/06/04,"SEKOLAH KEBANGSAAN MALAU, JITRA",4,364,136,32,31,154,353,11,0,PADANG PANJANG ,UNDI BIASA,PADANG PANJANG 006/06/04
29,006/06/04,"SEKOLAH KEBANGSAAN MALAU, JITRA",5,499,295,52,37,114,498,1,0,PADANG PANJANG ,UNDI BIASA,PADANG PANJANG 006/06/04
29,006/06/04,"SEKOLAH KEBANGSAAN MALAU, JITRA",6,454,318,56,21,58,453,1,0,PADANG PANJANG ,UNDI BIASA,PADANG PANJANG 006/06/04
29,006/06/04,"SEKOLAH KEBANGSAAN MALAU, JITRA",7,501,327,83,24,53,487,14,0,PADANG PANJANG ,UNDI BIASA,PADANG PANJANG 006/06/04
