Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HUSAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ FADHLI SHAARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO GHANI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NASRUL ALI HASAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
21,022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,2,342,37,201,95,4,337,5,0,KUBANG BEMBAN ,UNDI BIASA,KUBANG BEMBAN 022/12/03
21,022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,3,491,41,350,96,1,488,3,0,KUBANG BEMBAN ,UNDI BIASA,KUBANG BEMBAN 022/12/03
21,022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,4,422,43,300,67,3,413,9,0,KUBANG BEMBAN ,UNDI BIASA,KUBANG BEMBAN 022/12/03
21,022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,5,405,32,293,78,0,403,2,0,KUBANG BEMBAN ,UNDI BIASA,KUBANG BEMBAN 022/12/03
21,022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,6,437,43,322,68,1,434,3,0,KUBANG BEMBAN ,UNDI BIASA,KUBANG BEMBAN 022/12/03
21,022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,7,454,52,325,74,1,452,2,0,KUBANG BEMBAN ,UNDI BIASA,KUBANG BEMBAN 022/12/03
21,022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,8,532,60,374,94,1,529,3,0,KUBANG BEMBAN ,UNDI BIASA,KUBANG BEMBAN 022/12/03
22,022/12/04,SEKOLAH MENENGAH KEBANGSAAN SULTAN IBRAHIM (2),1,243,43,112,83,3,241,2,0,KAMPUNG BHARU ,UNDI BIASA,KAMPUNG BHARU 022/12/04
22,022/12/04,SEKOLAH MENENGAH KEBANGSAAN SULTAN IBRAHIM (2),2,324,68,161,84,6,319,5,0,KAMPUNG BHARU ,UNDI BIASA,KAMPUNG BHARU 022/12/04
22,022/12/04,SEKOLAH MENENGAH KEBANGSAAN SULTAN IBRAHIM (2),3,397,54,246,83,8,391,6,0,KAMPUNG BHARU ,UNDI BIASA,KAMPUNG BHARU 022/12/04
22,022/12/04,SEKOLAH MENENGAH KEBANGSAAN SULTAN IBRAHIM (2),4,363,48,243,61,4,356,7,0,KAMPUNG BHARU ,UNDI BIASA,KAMPUNG BHARU 022/12/04
22,022/12/04,SEKOLAH MENENGAH KEBANGSAAN SULTAN IBRAHIM (2),5,338,47,228,54,5,334,4,0,KAMPUNG BHARU ,UNDI BIASA,KAMPUNG BHARU 022/12/04
22,022/12/04,SEKOLAH MENENGAH KEBANGSAAN SULTAN IBRAHIM (2),6,369,37,269,58,4,368,1,0,KAMPUNG BHARU ,UNDI BIASA,KAMPUNG BHARU 022/12/04
22,022/12/04,SEKOLAH MENENGAH KEBANGSAAN SULTAN IBRAHIM (2),7,442,70,300,70,2,442,0,0,KAMPUNG BHARU ,UNDI BIASA,KAMPUNG BHARU 022/12/04
23,022/12/05,SEKOLAH KEBANGSAAN SULTAN IBRAHIM (3),1,288,35,148,96,4,283,5,0,KAMPUNG DANGAR ,UNDI BIASA,KAMPUNG DANGAR 022/12/05
23,022/12/05,SEKOLAH KEBANGSAAN SULTAN IBRAHIM (3),2,328,64,181,80,1,326,2,0,KAMPUNG DANGAR ,UNDI BIASA,KAMPUNG DANGAR 022/12/05
23,022/12/05,SEKOLAH KEBANGSAAN SULTAN IBRAHIM (3),3,410,70,257,79,3,409,1,0,KAMPUNG DANGAR ,UNDI BIASA,KAMPUNG DANGAR 022/12/05
23,022/12/05,SEKOLAH KEBANGSAAN SULTAN IBRAHIM (3),4,357,60,240,54,0,354,3,0,KAMPUNG DANGAR ,UNDI BIASA,KAMPUNG DANGAR 022/12/05
23,022/12/05,SEKOLAH KEBANGSAAN SULTAN IBRAHIM (3),5,443,79,283,70,7,439,4,0,KAMPUNG DANGAR ,UNDI BIASA,KAMPUNG DANGAR 022/12/05
24,022/12/06,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (2),1,243,35,142,57,6,240,3,0,PENGKALAN PASIR ,UNDI BIASA,PENGKALAN PASIR 022/12/06
24,022/12/06,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (2),2,331,70,176,69,10,325,6,0,PENGKALAN PASIR ,UNDI BIASA,PENGKALAN PASIR 022/12/06
24,022/12/06,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (2),3,495,91,276,107,14,488,7,0,PENGKALAN PASIR ,UNDI BIASA,PENGKALAN PASIR 022/12/06
24,022/12/06,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (2),4,455,58,320,66,11,455,0,0,PENGKALAN PASIR ,UNDI BIASA,PENGKALAN PASIR 022/12/06
